# Nikon maker-note lens identities.
# Key: LibRaw makernotes.LensID, the eight composite bytes as hex.
# One row per candidate name; a repeated key is ambiguous.
# Generated from ExifTool's published tag documentation; see nikon.provenance.json.
26403C602C3C1C02	Sigma 28-80mm F3.5-5.6 Mini Zoom Macro II Aspherical
26403C652C3C1C02	Sigma 28-90mm F3.5-5.6 Macro
26403C802B3C1C02	Sigma 28-200mm F3.5-5.6 Compact Aspherical Hyperzoom Macro
26403C802C3C1C02	Sigma 28-200mm F3.5-5.6 Compact Aspherical Hyperzoom Macro
26403C8E2C401C02	Sigma 28-300mm F3.5-6.3 Macro
26407BA034401C02	Sigma APO 170-500mm F5-6.3 Aspherical RF
26413C8E2C401C02	Sigma 28-300mm F3.5-6.3 DG Macro
26447398343C1C02	Sigma 135-400mm F4.5-5.6 APO Aspherical
2645688E34421C02	Sigma 100-300mm F4.5-6.7 DL
2648111130301C02	Sigma 8mm F4 EX Circular Fisheye
2648272724241C02	Sigma 15mm F2.8 EX Diagonal Fisheye
26482D5024241C06	Sigma 18-50mm F2.8 EX DC
2648314924241C02	Sigma 20-40mm F2.8
2648375624241C02	Sigma 24-60mm F2.8 EX DG
26483C5C24241C06	Sigma 28-70mm F2.8 EX DG
26483C5C24301C02	Sigma 28-70mm F2.8-4 DG
26483C6A24301C02	Sigma 28-105mm F2.8-4 Aspherical
26488E8E30301C02	Sigma APO Tele Macro 300mm F4
26542B4424301C02	Sigma 17-35mm F2.8-4 EX Aspherical
2654375C24241C02	Sigma 24-70mm F2.8 EX DG Macro
2654377324341C02	Sigma 24-135mm F2.8-4.5
26543C5C24241C02	Sigma 28-70mm F2.8 EX
2658313114141C02	Sigma 20mm F1.8 EX DG Aspherical RF
2658373714141C02	Sigma 24mm F1.8 EX DG Aspherical Macro
26583C3C14141C02	Sigma 28mm F1.8 EX DG Aspherical Macro
27488E8E24241D02	AF-I Nikkor 300mm f/2.8D IF-ED
27488E8E2424E102	AF-I Nikkor 300mm f/2.8D IF-ED + TC-17E
27488E8E2424F102	AF-I Nikkor 300mm f/2.8D IF-ED + TC-14E
27488E8E2424F202	AF-I Nikkor 300mm f/2.8D IF-ED + TC-20E
27488E8E30301D02	Tokina AT-X 304 AF (AF 300mm f/4.0)
27548E8E24241D02	Tamron SP AF 300mm f/2.8 LD-IF (360E)
283CA6A630301D02	AF-I Nikkor 600mm f/4D IF-ED
283CA6A63030E102	AF-I Nikkor 600mm f/4D IF-ED + TC-17E
283CA6A63030F102	AF-I Nikkor 600mm f/4D IF-ED + TC-14E
283CA6A63030F202	AF-I Nikkor 600mm f/4D IF-ED + TC-20E
2A543C3C0C0C2602	AF Nikkor 28mm f/1.4D
2B3C4460303C1F02	AF Zoom-Nikkor 35-80mm f/4-5.6D
2C486A6A18182702	AF DC-Nikkor 105mm f/2D
2D48808030302102	AF Micro-Nikkor 200mm f/4D IF-ED
2E485C82303C2202	AF Nikkor 70-210mm f/4-5.6D
2E485C82303C2802	AF Nikkor 70-210mm f/4-5.6D
2F4030442C342902	Tokina AF 235 II (AF 20-35mm f/3.5-4.5)
2F4030442C342902	Tokina AF 193 (AF 19-35mm f/3.5-4.5)
